['昵称', '评论', '时间']
['娟', '十年啊……希望有更多精彩的电影🎬', '2019-05-06 01:13:15']
['FM779677', "以凡人之躯，铸钢铁之心\n\n以一己之力，比肩神明\n\nMy favorite superhero.\n\nHe's Iron Man.\n\n[爱心]", '2019-05-06 01:12:34']
['存鱼记', '七刷的已经麻木了', '2019-05-06 01:10:48']
['Glenn', '非常值得一看', '2019-05-06 01:10:39']
['以终为始', '漫威！太震撼了！感人！', '2019-05-06 01:08:13']
['zzzzzzzZHAN', '漫威一个系列的结束\n留下了太多的回忆\n爱了', '2019-05-06 01:05:58']
['JamieC86', '很好看 必須要看', '2019-05-06 01:05:01']
['刘刘', '以前没看过漫威的电影，有点看不懂，但是觉得明明有那么多黑科技的东西，为什打架还是拿刀砍来砍去？', '2019-05-06 01:03:59']
['tattoo', '非常失望！！！！！！！', '2019-05-06 01:03:51']
['一日看尽长安花', '111111', '2019-05-06 01:03:48']
['HD_209458b.', '无聊到睡着 毫无亮点', '2019-05-06 01:03:32']
['GxH517165294', '不好看  太能扯了  我看睡着了', '2019-05-06 01:02:20']
['Chipmunk_AL', '万达效果不错！新建的还有点味道不过可以忍受。影片不如之前几部好看，不过我也不是妇联粉，体会不到那种情怀。还行吧', '2019-05-06 01:02:18']
15
['相信自己', '感觉一般还没有前面好看', '2019-05-06 01:13:26']
['娟', '十年啊……希望有更多精彩的电影🎬', '2019-05-06 01:13:15']
['FM779677', "以凡人之躯，铸钢铁之心\n\n以一己之力，比肩神明\n\nMy favorite superhero.\n\nHe's Iron Man.\n\n[爱心]", '2019-05-06 01:12:34']
['存鱼记', '七刷的已经麻木了', '2019-05-06 01:10:48']
['Glenn', '非常值得一看', '2019-05-06 01:10:39']
['以终为始', '漫威！太震撼了！感人！', '2019-05-06 01:08:13']
['zzzzzzzZHAN', '漫威一个系列的结束\n留下了太多的回忆\n爱了', '2019-05-06 01:05:58']
['JamieC86', '很好看 必須要看', '2019-05-06 01:05:01']
['刘刘', '以前没看过漫威的电影，有点看不懂，但是觉得明明有那么多黑科技的东西，为什打架还是拿刀砍来砍去？', '2019-05-06 01:03:59']
['tattoo', '非常失望！！！！！！！', '2019-05-06 01:03:51']
['一日看尽长安花', '111111', '2019-05-06 01:03:48']
['HD_209458b.', '无聊到睡着 毫无亮点', '2019-05-06 01:03:32']
['GxH517165294', '不好看  太能扯了  我看睡着了', '2019-05-06 01:02:20']
['Chipmunk_AL', '万达效果不错！新建的还有点味道不过可以忍受。影片不如之前几部好看，不过我也不是妇联粉，体会不到那种情怀。还行吧', '2019-05-06 01:02:18']
['很久以前', '挺好的 时间三个小时 都没有困的感觉', '2019-05-06 01:01:25']
16
['娟', '十年啊……希望有更多精彩的电影🎬', '2019-05-06 01:13:15']
['FM779677', "以凡人之躯，铸钢铁之心\n\n以一己之力，比肩神明\n\nMy favorite superhero.\n\nHe's Iron Man.\n\n[爱心]", '2019-05-06 01:12:34']
['存鱼记', '七刷的已经麻木了', '2019-05-06 01:10:48']
['Glenn', '非常值得一看', '2019-05-06 01:10:39']
['以终为始', '漫威！太震撼了！感人！', '2019-05-06 01:08:13']
['zzzzzzzZHAN', '漫威一个系列的结束\n留下了太多的回忆\n爱了', '2019-05-06 01:05:58']
['JamieC86', '很好看 必須要看', '2019-05-06 01:05:01']
